                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0484,                 2.8764,                 1.2563,                0.00537,                      1,                0.59415,                0.37248,                0.78553,                 2.9524,                 1.1651,                      0,                      0,                      0
                      2,                 1.0611,                 2.8502,                 1.3083,                0.00528,                      1,                0.57552,                 0.3611,                0.78492,                 2.9526,                   1.15,              1.634e-05,              1.634e-05,              1.634e-05
                      3,                 1.0386,                 2.8506,                 1.2211,                0.00509,                      1,                0.49815,                0.36443,                0.78658,                 2.9518,                 1.1447,              3.202e-05,              3.202e-05,              3.202e-05
                      4,                0.87753,                 2.7248,                 1.2159,                  0.005,                      1,                0.44359,                 0.3055,                0.78124,                 2.9501,                 1.1596,             4.7039e-05,             4.7039e-05,             4.7039e-05
                      5,                0.85067,                 2.8427,                 1.2355,                0.00488,                      1,                0.49725,                0.35214,                0.69022,                 2.9356,                 1.0806,             6.1399e-05,             6.1399e-05,             6.1399e-05
                      6,                0.92846,                 2.6791,                 1.1346,                0.00479,                      1,                0.49578,                0.32396,                0.69066,                  2.935,                 1.0846,             7.5098e-05,             7.5098e-05,             7.5098e-05
                      7,                0.65494,                 2.7148,                 1.0187,                0.00471,                      1,                0.55785,                0.43037,                0.55369,                 2.9142,                0.98976,             8.8138e-05,             8.8138e-05,             8.8138e-05
                      8,                0.68699,                 2.6628,                 1.1311,                0.00469,                      1,                0.50987,                0.44665,                0.44538,                 2.9053,                 0.9346,             0.00010052,             0.00010052,             0.00010052
                      9,                0.69326,                 2.8572,                 1.1011,                0.00467,                      1,                0.46527,                0.40915,                0.42214,                 2.8745,                0.90125,             0.00011224,             0.00011224,             0.00011224
                     10,                0.62074,                  2.664,                 1.1365,                0.00461,                      1,                0.54433,                 0.4613,                0.42376,                 2.8648,                0.89364,             0.00012329,             0.00012329,             0.00012329
                     11,                 0.8118,                 2.6074,                 1.1301,                0.00457,                      1,                0.58512,                0.49187,                0.44616,                 2.8483,                0.89618,             0.00013369,             0.00013369,             0.00013369
                     12,                0.72977,                 2.4456,                 1.1155,                0.00454,                      1,                0.54868,                0.46541,                0.48395,                 2.8087,                0.89673,             0.00014343,             0.00014343,             0.00014343
                     13,                0.70069,                 2.2572,                 1.0655,                0.00452,                      1,                 0.5925,                0.50808,                0.47582,                 2.7705,                0.89441,             0.00015251,             0.00015251,             0.00015251
                     14,                0.86767,                 2.1762,                 1.1784,                 0.0045,                      1,                0.58903,                0.50877,                0.47678,                 2.7664,                 0.8952,             0.00016093,             0.00016093,             0.00016093
                     15,                0.69957,                 2.2231,                 1.0795,                0.00452,                      1,                0.59066,                0.50054,                0.46973,                 2.6932,                0.88904,             0.00016869,             0.00016869,             0.00016869
                     16,                0.66943,                 1.9572,                 1.0251,                0.00449,                      1,                0.57386,                0.52384,                0.42663,                  2.626,                0.88468,             0.00017579,             0.00017579,             0.00017579
                     17,                0.75897,                 1.8766,                 1.0487,                0.00447,                      1,                0.62673,                0.56879,                0.41857,                 2.5416,                0.89887,             0.00018222,             0.00018222,             0.00018222
                     18,                0.68175,                 1.6276,                 1.0292,                0.00447,                      1,                0.62673,                0.56879,                0.41857,                 2.5416,                0.89887,               0.000188,               0.000188,               0.000188
                     19,                0.52281,                 1.6298,                 1.0201,                0.00448,                      1,                0.62863,                0.58324,                0.44177,                 2.4504,                0.92942,             0.00019312,             0.00019312,             0.00019312
                     20,                0.59932,                 1.6073,                 1.0775,                0.00448,                      1,                0.62863,                0.58324,                0.44177,                 2.4504,                0.92942,             0.00019758,             0.00019758,             0.00019758
                     21,                0.56155,                 1.6015,                 1.0458,                0.42209,                    0.8,                0.61976,                 0.5674,                0.47731,                 2.3615,                0.95847,             0.00020137,             0.00020137,             0.00020137
